word,count
检查,1
保障,1
百姓,1
安全,1
月份,1
奔走,1
协调,1
外地,1
运输,1
分批,1
预约,1
确保,1
生产,1
顺利进行,1
路上,1
十三届,1
人大,1
一次,1
举行,1
第三次,1
全体会议,1
依法,1
选举,1
产生,1
出席,1
第十三届,1
全国人民代表大会,1
当时,1
媒体报道,1
中,1
提到,1
用到,1
标题,1
大王,1
当选,1
闻名,1
产区,1
不能不,1
提而,1
绕不开,1
被,1
当地人,1
称为,1
第一个,1
吃螃蟹,1
离开,1
部队,1
老家,1
邓小平,1
发表,1
南巡讲话,1
备受,1
鼓舞,1
毅然,1
放弃,1
金饭碗,1
投身,1
当地,1
特色产业,1
富,1
还要,1
富年,1
牵头,1
专业,1
又,1
多万户,1
帮助,1
推销,1
亿元,1
户均,1
增收,1
年月日,1
上任,1
有人,1
理解,1
官,1
小事,1
好好,1
何必,1
自寻烦恼,1
回答,1
简短,1
有力,1
正,1
因为,1
人大代表,1
才,1
这件,1
事,1
这届,1
任期,1
结束,1
希望,1
当得,1
啥,1
干白当,1
恰好,1
人误,1
一时,1
塘误,1
开春,1
购买,1
投放,1
收成,1
农,1
风险,1
降到,1
最低,1
第九,1
批,1
集中,1
供货,1
前一晚,1
睡,1
踏实,1
虽说,1
第一次,1
但,1
还是,1
放心,1
第二天,1
一早,1
六点,1
回忆,1
当天,1
早上,1
六点半,1
工作人员,1
一起,1
分类,1
每袋,1
进行,1
来,1
直接,1
拎,1
走,1
行,1
缩短,1
碰面,1
没过多久,1
袋,1
完毕,1
进入,1
连续,1
多日,1
零,1
确诊,1
日记,1
写,1
加上,1
几天,1
天气,1
心情,1
舒坦,1
很多,1
会,1
影响,1
但是,1
技术人员,1
在线,1
只要,1
科学,1
一定,1
能够,1
占有,1
市场,1
逐个,1
询问,1
塘口,1
前期,1
管理,1
防逃,1
设施,1
及时,1
整修,1
注水,1
消毒,1
栽种,1
水草,1
不能,1
耽搁,1
信心,1
很,1
让,1
心里有底,1
就要,1
做,1
托底,1
有心人,1
走马上任,1
第一天,1
第一件,1
事是,1
召开,1
党员,1
代表大会,1
一共,1
列,1
事儿,1
绿化,1
卫生,1
整治,1
水质,1
那场,1
会开,1
完,1
心里,1
挺,1
开心,1
提,1
集体利益,1
说明,1
素质,1
承诺,1
三个,1
内,1
全部,1
说话,1
不虚,1
你,1
看永成,1
河,1
真的,1
大变样,1
指着,1
家门口,1
原先,1
杂物,1
水系,1
流动,1
水清岸,1
绿,1
不止,1
如此,1
不久前,1
新建,1
休闲,1
晚上,1
自个儿,1
散步,1
老伴儿,1
跳,1
舞有,1
地方,1
好感,1
大年三十,1
逐户,1
摸排,1
年前,1
及,1
者,1
在家,1
看,1
春晚,1
初期,1
包干区,1
沈,1
家村,1
打着,1
拜早年,1
由头,1
挨家挨户,1
敲门,1
了解,1
近期,1
是否,1
尤其,1
回来,1
除夕夜,1
当晚,1
户,1
村委,1
过,1
点,1
其他,1
碰头,1
得知,1
有位,1
上报,1
落实,1
网格,1
员,1
协警,1
医护人员,1
包,1
一户,1
四包,1
方案,1
安排,1
居家,1
与其,1
密切接触,1
汽车,1
后备箱,1
常备,1
一顶,1
竹编,1
草帽,1
一双,1
泛灰,1
球鞋,1
半年,1
多户,1
打成一片,1
开展,1
查看,1
点位,1
车流量,1
人流量,1
所以,1
卡点,1
非常,1
村上,1
反复,1
重点,1
兴旺,1
比较,1
薄弱,1
定下,1
目标,1
达到,1
这次,1
目光,1
锁定,1
健康,1
从户,1
手上,1
改为,1
标准化,1
过去,1
单打独斗,1
不高,1
提高,1
品质,1
最,1
除了,1
获得,1
分红,1
则,1
通过,1
入股,1
提供,1
支撑,1
习近平,1
总书记,1
绿水青山,1
金山,1
银山,1
文明,1
新理念,1
切实,1
全面,1
遏制,1
根本,1
扭转,1
生态环境,1
恶化趋势,1
刻不容缓,1
人代会,1
关于,1
支持,1
去年,1
收到,1
各级,1
部门,1
回应,1
推动,1
顺利,1
漫步,1
镇,1
公里,1
长,1
观蟹,1
大道,1
杉树,1
绵延,1
两侧,1
郁郁葱葱,1
后面,1
便是,1
一眼,1
望,1
边,1
清澈,1
固城,1
湖水,1
映衬,1
蓝天白云,1
岸边,1
一栋栋,1
淡黄色,1
用房,1
勾勒,1
出,1
一幅,1
醉人,1
场,1
丰收,1
图,1
步履,1
不停,1
奔波,1
村头,1
